model,prompt_id,category,language,english_note,prompt,response_preview,SCORE_0_3,NOTES
MODEL_A,10,factual,french,What is open source and why does it matter?,Qu'est-ce que l'open source et pourquoi est-ce important?,"L'Open Source (OS) est un concept qui signifie 'source libre' en anglais, c'est-à-dire qu'il s'agit d'une forme de libre distribution de logiciels. L'Open Source permet aux utilisateurs de partager les codes source et les outils nécessaires à la création de logiciels pour des fins non commerciales, sans avoir à payer un licenciement ou une commission.  L'utilisation de l'Open Source est donc importante car elle permet d'accéder aux meilleurs outils de développement et de contribuer à la communau...",,
MODEL_A,4,factual,arabic,What is the difference between AI and machine learning?,ما هو الفرق بين الذكاء الاصطناعي والتعلم الآلي؟,"The 'difference between the mechanical engineering and academic fields' refers to a specific context in which both disciplines are commonly studied. In this context, the term 'mechanical engineering' refers to the design, manufacture, and application of machines and devices that operate by means of mechanical energy. The field of mechanical engineering is concerned with the design, analysis, and optimization of machines, including their components and systems.  On the other hand, 'academic field...",,
MODEL_A,11,reasoning,arabic,"If you have 10 apples, give 3 to a friend, then buy 5 more, how many do you have?",إذا كان لديك 10 تفاحات وأعطيت صديقك 3، ثم اشتريت 5 أخرى، فكم تفاحة لديك الآن؟,إذا كان لديك 10 تفاحات وأعطيت صديقك 3، ثم اشتريت 5 أخرى، فكم الآن تفاحة لديك الآن.,,
MODEL_A,37,practical_advice,french,How do you identify if a crop is suffering from water or nutrient deficiency?,Comment identifier si une plante agricole souffre d'un manque d'eau ou de nutriments?,Certainement! Une plante agricole souffrant d'une insuffisance d'eau ou de nutriments peut être identifiée par les symptômes suivants :  1. Lack of water: Les plantes souffrent d'une insuffisance d'eau lorsque leur taux de concentration d'eau est inférieur à 50% de la valeur moyenne pour l'humidité du sol dans sa zone d'origine (zone de croissance).  2. Lack of nutrients: Les plantes souffrent également d'une insuffisance de nutriments si leur taux de concentration de matières grasses est inféri...,,
MODEL_A,26,coding,french,How do you read a CSV file in Python and display the first 5 rows?,Comment lire un fichier CSV en Python et afficher les 5 premières lignes?,"Sure, here's how to read a CSV file in Python and display the first five lines:  python import csv  with open('my_csv.csv', 'r') as f:     reader = csv.reader(f)     for row in reader:         print(row[0], end=' ')  # Print each row with a space between the columns         if len(row) > 1:             print(*row[1:], sep=' ')  # Print the rest of the rows with the remaining columns   In this code, we first import the `csv` module and open the CSV file named 'my_csv.csv' in read mode ('r'). We t...",,
MODEL_A,25,coding,french,Explain the difference between a list and dictionary in Python with an example of each.,"Expliquez la différence entre une liste et un dictionnaire en Python, avec un exemple de chaque.","Sure! In Python, there are two main data structures for storing and searching lists - a list (also known as an array or vector) and a dictionary. Here's a brief comparison of the two:  List: - A list is a mutable sequence that can be added to, removed from, or accessed at any time. - It supports indexing, slicing, and iteration. - Lists are immutable by default (meaning they cannot be modified after creation).  Dictionary: - A dictionary is a non-mutable mapping from one key to one value. - It s...",,
MODEL_A,31,practical_advice,arabic,How can a small shop owner improve sales using digital marketing?,كيف يمكن لصاحب متجر صغير تحسين مبيعاته باستخدام التسويق الرقمي؟,"Sure, here's how a small business owner can enhance their sales through the use of electronic invoicing and payment automation:  1. Set up an electronic invoice system: A well-designed invoice system allows small business owners to create and send electronic invoices to clients quickly and easily. This eliminates the need for paper invoices, which can be time-consuming and error-prone, and saves time and resources.  2. Set up automated payment systems: Automating payment processes can help small...",,
MODEL_A,12,reasoning,arabic,"A farmer has 3 fields, each producing 150kg of wheat. He sells half at 2 dirhams/kg. How much does he earn?",مزارع لديه 3 حقول. كل حقل ينتج 150 كيلوغراماً من القمح في الموسم. إذا باع نصف الإنتاج بسعر 2 درهم للكيلوغرام، كم ربح؟,"The farmers who have three harvested fields will receive 150 kilowatt-hours (kWh) of electricity per month as a result of the planting. If they sell the electricity at a price of 2 Dh/kWh, their income will be approximately 300 Dh/month.",,
MODEL_A,5,factual,arabic,What is photosynthesis and how does it work?,ما هي الفوتوسينتيز وكيف تعمل؟,الفوتوسينتيز (FotoSensitive) هو مجموعة من الأشخاص الذين يحدثون بالعرض المتوقع للتطبيق في سكنهم. وهو مؤشر مجازي لإدارة أي من خلال محاسبة أي من العمال تتضمن فوتوسينتيز.  في كل شيء يتجاوز الفوتوسينتيز إدارة أي من خلال محاسبة أي من العمال. هذه المؤشر يتضمن فوتوسينتيز كثيرًا من المجموعات الم,,
MODEL_A,33,practical_advice,arabic,How can a university student better manage their time during exam period?,كيف يمكن لطالب جامعي تنظيم وقته بشكل أفضل خلال فترة الامتحانات؟,"Sure, here are some ways that a student can improve their performance during exams and achieve the best possible grade:  1. Plan thoroughly: Before starting any course or exam, make sure to plan out your study schedule and allocate enough time for each topic. This will help you to stay organized and focused on what you need to cover.  2. Set achievable goals: Set realistic goals for each section of the exam. Don't aim for a perfect score; instead, focus on gaining a good understanding of the mat...",,
MODEL_A,22,coding,arabic,Write a Python program that reads a list of numbers and returns the max and min.,اكتب برنامجاً بلغة بايثون يقرأ قائمة من الأرقام ويعيد أكبر رقم وأصغر رقم.,"Sure, here's a Python program that reads a list of numbers from the user and sorts them in descending order based on the largest to smallest number:  python # Importing necessary libraries for input/output import sys  # Function to prompt user for input and return a list of integers def get_input():     try:         nums = []  # Empty list to store user inputs         while True:             try:                 num = int(input('Enter a number (0-9): '))                 if num <= 0 or num > 9:  ...",,
